result_id,design,shock,mechanism_group,sample,opportunity,post_lag,control,status,coef,se,t,p,nobs,firms_in_estimation,treated_firms_in_stack,control_firms_in_stack
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_manufacturing_high,all_multiseg,l_margin,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0402756559434043,0.0334367542674568,1.2045324621296638,0.2283911116110324,53835.0,3652.0,228.0,3424.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_manufacturing_high,all_multiseg,sgrow,0,all_other_multiseg_firms_not_same_mechanism,ok,-0.005345596682613,0.0123659973802088,-0.4322818870371418,0.6655389266584537,53835.0,3652.0,228.0,3424.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_manufacturing_high,pre_multiseg,l_margin,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0325063620153441,0.0353386178580441,0.9198538025998284,0.3576549990727182,51417.0,3208.0,205.0,3003.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_manufacturing_high,pre_multiseg,sgrow,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0038544954611965,0.0114422931905669,0.3368638958119166,0.736221362512457,51417.0,3208.0,205.0,3003.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_manufacturing_very_high,all_multiseg,l_margin,0,all_other_multiseg_firms_not_same_mechanism,ok,0.1090091947449565,0.0339796731807598,3.2080707240786595,0.0013373594788359,53835.0,3652.0,47.0,3605.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_manufacturing_very_high,all_multiseg,sgrow,0,all_other_multiseg_firms_not_same_mechanism,ok,-0.0127156295793033,0.0226732650005963,-0.5608204014273594,0.5749231811751694,53835.0,3652.0,47.0,3605.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_manufacturing_very_high,pre_multiseg,l_margin,0,all_other_multiseg_firms_not_same_mechanism,ok,0.1120614422254721,0.0414410498655973,2.7041168741842334,0.0068516662437556,51417.0,3208.0,43.0,3165.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_manufacturing_very_high,pre_multiseg,sgrow,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0142318486323885,0.0133711649405321,1.0643686392086444,0.2871684943690327,51417.0,3208.0,43.0,3165.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,output_producer,all_multiseg,l_margin,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0014752406987127,0.0109851020026795,0.1342946745831676,0.8931702532558432,53835.0,3652.0,272.0,3380.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,output_producer,all_multiseg,sgrow,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0104488102080396,0.0082173742538418,1.2715509705736605,0.2035402467833842,53835.0,3652.0,272.0,3380.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,output_producer,pre_multiseg,l_margin,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0015363099705276,0.011845619835638,0.1296943504725316,0.896808938572669,51417.0,3208.0,249.0,2959.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,output_producer,pre_multiseg,sgrow,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0114842793310214,0.0086976930457378,1.3203822290152152,0.1867153821988338,51417.0,3208.0,249.0,2959.0
modern_electricity,modern_regional,stacked,input_industrial_high,all_multiseg,l_margin,1,notyet_or_never_within_mechanism,ok,-0.1222344065694121,0.0801330729282774,-1.5253927261571154,0.1271894609701278,15040.0,315.0,50.0,288.0
modern_electricity,modern_regional,stacked,input_industrial_high,all_multiseg,sgrow,1,notyet_or_never_within_mechanism,ok,-0.0097818470094636,0.0230227010302477,-0.4248783405827156,0.6709335420756712,15040.0,315.0,50.0,288.0
modern_electricity,modern_regional,stacked,input_industrial_high,pre_multiseg,l_margin,1,notyet_or_never_within_mechanism,ok,-0.1190013226394205,0.0808374350604033,-1.4721066118748125,0.1410210200121779,14488.0,303.0,47.0,278.0
modern_electricity,modern_regional,stacked,input_industrial_high,pre_multiseg,sgrow,1,notyet_or_never_within_mechanism,ok,-0.0188702739110377,0.0233340044602029,-0.8087027643807007,0.4187038238422005,14488.0,303.0,47.0,278.0
modern_electricity,modern_regional,stacked,input_manufacturing_high,all_multiseg,l_margin,1,notyet_or_never_within_mechanism,ok,-0.1909254712414317,0.080890106899717,-2.360306823158613,0.0182782509907188,13786.0,265.0,46.0,239.0
modern_electricity,modern_regional,stacked,input_manufacturing_high,all_multiseg,sgrow,1,notyet_or_never_within_mechanism,ok,-0.0148818481790885,0.0236384770830096,-0.6295603615592059,0.5289961460120476,13786.0,265.0,46.0,239.0
modern_electricity,modern_regional,stacked,input_manufacturing_high,pre_multiseg,l_margin,1,notyet_or_never_within_mechanism,ok,-0.1783873021634242,0.0851402742925485,-2.0952164371760382,0.0361765592717646,13352.0,255.0,44.0,230.0
modern_electricity,modern_regional,stacked,input_manufacturing_high,pre_multiseg,sgrow,1,notyet_or_never_within_mechanism,ok,-0.0239269730142227,0.0236945545163965,-1.0098089414454017,0.3126109902996183,13352.0,255.0,44.0,230.0
modern_electricity,modern_regional,stacked,input_manufacturing_very_high,all_multiseg,l_margin,1,notyet_or_never_within_mechanism,ok,-0.1736206645912234,0.1450088033741494,-1.1973112014671976,0.2313303599139238,2602.0,55.0,13.0,49.0
