status,beta,se,t,p,nobs,firms,t_std,t_p25,t_p75,shock,treatment,outcome,span,check
ok,-0.01686531190226445,0.003966185686483453,-4.252274914848421,2.1190843727092457e-05,72297,8034,0.9951237450506237,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,baseline_span
ok,-0.02077926427769099,0.004549792540606866,-4.56707950796354,4.952753545728328e-06,91148,8053,0.9963656832687421,-0.2498127621497917,-0.2498127621497917,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,7,baseline_span
ok,-0.03091070224385909,0.00944039152561389,-3.27430299474248,0.0010601571532991017,46336,7536,0.2680205741806301,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,3,baseline_span
ok,-0.04529324357669169,0.010690613657532669,-4.236729997700161,2.271339275905504e-05,68070,7592,0.2704198583000697,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,5,baseline_span
ok,-0.05589426199465276,0.011131389728596789,-5.021319292330512,5.142894994314418e-07,86826,7649,0.2731400637305455,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,7,baseline_span
ok,0.01029006870424976,0.002676939952829879,3.843966949416179,0.00012128995320126457,39029,6270,0.935445086786362,-0.30203023834147,-0.30203023834147,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,3,baseline_span
ok,0.012700716957277921,0.003014782687338016,4.212813417902556,2.526485826770397e-05,56539,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,baseline_span
ok,0.013311051769219024,0.003315821914307744,4.01440490871417,5.9662054937126285e-05,71983,6277,0.9526886664743599,-0.2969773378175948,-0.2969773378175948,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,7,baseline_span
ok,0.004780969521761918,0.0020400066203122777,2.343604905081172,0.019103805421680775,42543,6565,1.025085083936614,-0.3151262847187118,-0.3151262847187118,NATGAS_1990,pre_energy_share_z,log_nseg,3,baseline_span
ok,0.00928338299487962,0.0023157637450789575,4.008778103814341,6.111269526276608e-05,62601,6575,1.0052921627047182,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,5,baseline_span
ok,0.012940246805687604,0.0026042690786895616,4.968859366943368,6.750040917324895e-07,79332,6588,0.9829135855224823,-0.33575110234997213,-0.33575110234997213,NATGAS_1990,pre_energy_share_z,log_nseg,7,baseline_span
ok,0.032200129248938614,0.008178874938376239,3.9369876042304837,8.268142616141283e-05,39029,6270,0.935445086786362,-0.30203023834147,-0.30203023834147,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,3,baseline_span
ok,0.03739594963962219,0.00955987579037982,3.911761037445072,9.174599312977705e-05,56539,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,5,baseline_span
ok,0.0388745887073162,0.0108663842948894,3.5775091007594324,0.0003471334493723166,71983,6277,0.9526886664743599,-0.2969773378175948,-0.2969773378175948,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,7,baseline_span
ok,0.015086822789267765,0.0064532486717282294,2.3378647804730264,0.01939971582375022,42543,6565,1.025085083936614,-0.3151262847187118,-0.3151262847187118,NATGAS_1990,pre_energy_share_z,n_op_seg,3,baseline_span
ok,0.02818251320853061,0.007540964451580047,3.737255809848775,0.00018622434296156065,62601,6575,1.0052921627047182,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,5,baseline_span
ok,0.039445246224825044,0.008709896605927773,4.528784669840906,5.9417976527864624e-06,79332,6588,0.9829135855224823,-0.33575110234997213,-0.33575110234997213,NATGAS_1990,pre_energy_share_z,n_op_seg,7,baseline_span
ok,0.015132619346302884,0.005776670543567024,2.6196092077909423,0.008806618897388763,44202,6866,1.0074813766904955,-0.301690672091914,-0.301690672091914,FERC636_1992,pre_energy_share_z,n_op_seg,3,baseline_span
ok,0.025242192780714885,0.006889891688404798,3.663655964751335,0.0002488601908776644,65368,6888,1.0119534470540352,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,n_op_seg,5,baseline_span
ok,0.04007687700869377,0.008306047727067228,4.825023684621238,1.4025697796515857e-06,83076,6907,0.990842123902164,-0.3130390907929328,-0.3130390907929328,FERC636_1992,pre_energy_share_z,n_op_seg,7,baseline_span
ok,-0.009484312959302531,0.002320074528062073,-4.087934609249234,4.362738632468499e-05,38841,6256,0.9364071131655759,-0.30203023834147,-0.30203023834147,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,3,baseline_span
ok,-0.009004600977814648,0.002483176935561192,-3.626242193563074,0.00028786151384507797,56237,6260,0.9363485232675961,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,5,baseline_span
ok,-0.008378899233487091,0.002643136538030352,-3.1700591751234284,0.0015247823318604858,71591,6264,0.9535973855784938,-0.2969773378175948,-0.2969773378175948,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,7,baseline_span
ok,-0.025706826157290585,0.011375352060774488,-2.2598708171798196,0.023834791660132026,46336,7536,0.2680205741806301,0.0,0.0,EU_ETS_2005,pre_energy_any,multi_seg,3,baseline_span
ok,-0.04332386209866979,0.012556969788021823,-3.4501844656818967,0.0005605857029018502,68070,7592,0.2704198583000697,0.0,0.0,EU_ETS_2005,pre_energy_any,multi_seg,5,baseline_span
ok,-0.06047649271817023,0.012958062241254672,-4.667093859576535,3.05989185434008e-06,86826,7649,0.2731400637305455,0.0,0.0,EU_ETS_2005,pre_energy_any,multi_seg,7,baseline_span
