model,shock,family,design,treatment,outcome,opp,n_specs,n_p05,n_p10,share_p05,share_p10,median_beta,median_t,median_abs_t,min_p,max_p,modal_sign,sign_consistency,min_treated_firms,min_control_firms,median_nobs,robust_score,robust_candidate
firm_did,EU_ETS_2005,carbon,national,pre_carbon_share_z,hhi,,3,1,2,0.3333333333333333,0.6666666666666666,-0.003503228701021269,-1.6671454680055222,1.6671454680055222,0.009243495333169705,0.2815805004159313,-1.0,1.0,7450,0,67070,5.833572734002761,False
rsz,FERC636_1992,gas,national,oilgas_segment,rel_inv,sgrow,6,1,2,0.16666666666666666,0.3333333333333333,0.023867954938307193,1.60649042165661,1.60649042165661,0.047047299857766234,0.1934271396545777,1.0,1.0,253,1961,41970,5.803245210828305,False
rsz,SO2_ALLOWANCE_1995,carbon,national,pre_carbon_high25,rel_inv,sgrow,6,1,2,0.16666666666666666,0.3333333333333333,-0.011180063994651653,-1.400549825932624,1.400549825932624,0.03173464620380373,0.39507155864456767,-1.0,1.0,593,1474,41226,5.700274912966312,False
firm_did,GAS_SPIKE_2001,gas,national,pre_oilgas_any,hhi,,3,1,2,0.3333333333333333,0.6666666666666666,0.019673887185519292,1.6826737321952019,1.6826737321952019,0.034009086605309324,0.7224930569772572,1.0,0.6666666666666666,340,7563,71277,5.508003532764268,False
rsz,CA_CARBON_2013,carbon,regional,carbon_segment,rel_inv,l_margin,6,1,2,0.16666666666666666,0.3333333333333333,0.026916820089632608,0.3521700836071523,0.7867190191060276,0.047283217024738367,0.7551179095399394,1.0,0.6666666666666666,24,2210,45314,5.060026176219681,False
firm_did,EU_ETS_2005,carbon,national,pre_carbon_share_z,log_nseg,,3,1,1,0.3333333333333333,0.3333333333333333,-0.004318033930923417,-1.6303952886917008,1.6303952886917008,0.013232067109948842,0.4756323583571005,-1.0,1.0,7536,0,68070,4.815197644345851,False
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_electric_any,hhi,,3,1,1,0.3333333333333333,0.3333333333333333,-0.019722256939757595,-1.5681237054991817,1.5681237054991817,0.021697366070632995,0.12177931494442062,-1.0,1.0,252,7677,70989,4.784061852749591,False
firm_did,EU_ETS_2005,carbon,national,pre_carbon_any,hhi,,3,1,1,0.3333333333333333,0.3333333333333333,0.009290450746655639,1.5479351630600866,1.5479351630600866,0.011304568942817061,0.593913681096149,1.0,1.0,1554,5896,67070,4.7739675815300435,False
firm_did,NATGAS_1990,gas,national,pre_oilgas_any,n_op_seg,,3,1,1,0.3333333333333333,0.3333333333333333,-0.047943205525326105,-1.2834756040271382,1.2834756040271382,0.010491690747993054,0.5844842180866152,-1.0,1.0,526,5988,62601,4.641737802013569,False
rsz,EU_ETS_2005,carbon,national,pre_carbon_high25,rel_inv,sgrow,6,1,1,0.16666666666666666,0.16666666666666666,0.007080333744223266,1.1402572060941487,1.1402572060941487,0.045952324551219004,0.3767807573713673,1.0,1.0,664,2444,59404,4.570128603047074,False
firm_did,GAS_SPIKE_2001,gas,national,pre_energy_any,hhi,,3,1,1,0.3333333333333333,0.3333333333333333,0.01588538470791916,1.6443865007781169,1.6443865007781169,0.04053863672502089,0.7887384194509126,1.0,0.6666666666666666,514,7389,71277,4.488859917055725,False
firm_did,FERC636_1992,gas,national,pre_oilgas_any,multi_seg,,3,1,1,0.3333333333333333,0.3333333333333333,-0.014244966460509774,-0.9652949453058314,0.9652949453058314,0.007990431054198943,0.42968113066452407,-1.0,1.0,471,6359,65368,4.482647472652916,False
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_carbon_any,hhi,,3,1,1,0.3333333333333333,0.3333333333333333,0.008180371529077685,1.5039251041785429,1.5039251041785429,0.010094779895322592,0.35338578320414027,1.0,0.6666666666666666,1668,6192,70989,4.418629218755938,False
firm_did,NATGAS_1990,gas,national,pre_oilgas_any,log_nseg,,3,1,1,0.3333333333333333,0.3333333333333333,-0.007824411890725174,-0.7687066412541572,0.7687066412541572,0.04968406583152696,0.5751413437929149,-1.0,1.0,526,5988,62601,4.384353320627079,False
firm_did,RGGI_2009,carbon,regional,pre_electric_any,n_op_seg,,3,1,1,0.3333333333333333,0.3333333333333333,-0.40673735775573705,-1.2707613700143092,1.2707613700143092,0.0003495632527150683,0.7408644318402504,-1.0,0.6666666666666666,2,346,3790,4.302047351673821,False
firm_did,RGGI_2009,carbon,regional,pre_electric_any,log_nseg,,3,1,1,0.3333333333333333,0.3333333333333333,-0.15617055786358836,-1.1213178753877056,1.1213178753877056,0.011468018645708566,0.6123453722862728,-1.0,0.6666666666666666,2,346,3790,4.227325604360519,False
