model,shock,family,design,event_year,span,window_start,window_end,sample,outcome,opp,treatment,treatment_col,treatment_scope,note,status,beta,se,t,p,nobs,firms,treated_firms,control_firms,rows
rsz,WTI_1983,oil,national,1983,5,1978,1988,pre_multiseg,rel_inv,sgrow,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.017402100528506898,0.01280971338221596,-1.3585081890018447,0.17431015638145042,52172.0,2945.0,501.0,2444.0,52172.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,all_multiseg,rel_inv,l_margin,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.0028540981019644974,0.020215039439122947,-0.14118686785447726,0.8877228969712343,64980.0,3915.0,554.0,3361.0,64980.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,all_multiseg,rel_inv,sgrow,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.013749219563354328,0.01160243630438087,-1.1850286614512913,0.23601182739004356,64980.0,3915.0,554.0,3361.0,64980.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,pre_multiseg,rel_inv,l_margin,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.009522304891682353,0.021036010820438187,-0.4526668565140052,0.6507908000577243,58657.0,2975.0,504.0,2471.0,58657.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,pre_multiseg,rel_inv,sgrow,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.014738463274931833,0.011699703887898774,-1.259729597958125,0.2077733645591131,58657.0,2975.0,504.0,2471.0,58657.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,3,1983,1989,all_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.013572938206582359,0.016922869742784615,-0.8020470767004182,0.42253453225574633,31826.0,2934.0,447.0,2874.0,31826.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,3,1983,1989,all_multiseg,rel_inv,sgrow,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,0.0009834345495838154,0.01917767513819286,0.05128017564680083,0.9591027380535411,31826.0,2934.0,447.0,2874.0,31826.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,3,1983,1989,pre_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.013488389345772329,0.016726103453739066,-0.8064274732652716,0.4200055616747156,29973.0,2475.0,397.0,2423.0,29973.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,3,1983,1989,pre_multiseg,rel_inv,sgrow,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,0.005354513441991845,0.019199739727307406,0.27888468896149815,0.7803360706401519,29973.0,2475.0,397.0,2423.0,29973.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,5,1981,1991,all_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.005450210345017842,0.016995397671621473,-0.3206874266977865,0.7484490459363482,51409.0,3550.0,531.0,3477.0,51409.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,5,1981,1991,all_multiseg,rel_inv,sgrow,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.024336241086713787,0.013980010030949529,-1.7407885282512103,0.08172877494539232,51409.0,3550.0,531.0,3477.0,51409.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,5,1981,1991,pre_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.008032056281796849,0.01756125521791576,-0.4573737003493151,0.6474052427950459,47480.0,2882.0,456.0,2827.0,47480.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,5,1981,1991,pre_multiseg,rel_inv,sgrow,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.018100566997387293,0.015334543331483942,-1.180378613572686,0.23785751494905227,47480.0,2882.0,456.0,2827.0,47480.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,7,1979,1993,all_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.00994614981811561,0.015945628485761296,-0.6237540167825344,0.5327917281555323,71754.0,4130.0,590.0,4055.0,71754.0
