status,k,beta,se,t,p,nobs,firms,shock,treatment,outcome,span,check
ok,2,-0.0006520215975588469,0.003180226997167682,-0.20502360307598763,0.837554251955807,87708,14198,FERC636_1992,pre_energy_share_z,hhi,5,event_study
ok,3,0.00037022836117587583,0.0034282137521577426,0.10799453824687898,0.9140003195427757,87708,14198,FERC636_1992,pre_energy_share_z,hhi,5,event_study
ok,4,0.0010012911640932265,0.0036851662096396005,0.2717085491216284,0.7858468905143972,87708,14198,FERC636_1992,pre_energy_share_z,hhi,5,event_study
ok,5,-0.004557897356738221,0.004285477807651572,-1.0635680690261082,0.2875279085881657,87708,14198,FERC636_1992,pre_energy_share_z,hhi,5,event_study
ok,-5,0.02287305378052076,0.006061130632105433,3.773727241475974,0.00016094418882928174,94062,15159,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,event_study
ok,-4,0.02231431126380935,0.005868371339738319,3.8024709023959593,0.00014336788458324534,94062,15159,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,event_study
ok,-3,0.01832593530156113,0.004483265528322041,4.087631032735196,4.362315212458334e-05,94062,15159,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,event_study
ok,-2,0.0030580840245542614,0.003115264020772248,0.9816452166375894,0.3262776738823956,94062,15159,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,event_study
ok,0,-0.004614593661031318,0.0027089651739996903,-1.7034525601589907,0.08848734770676336,94062,15159,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,event_study
ok,1,-0.0014166434257492746,0.003313055989142324,-0.42759416997236194,0.6689477784712075,94062,15159,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,event_study
ok,2,-0.003598674152533426,0.004453265192856315,-0.8080978780033632,0.4190366760117763,94062,15159,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,event_study
ok,3,-0.005192279357650728,0.004798790379119288,-1.081997534262719,0.27925693118048445,94062,15159,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,event_study
ok,4,-0.011051520862980608,0.004769417378938324,-2.3171637088806607,0.02049736267056068,94062,15159,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,event_study
ok,5,-0.00962596332297281,0.005333642141107497,-1.804763624612813,0.07111549085197999,94062,15159,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,event_study
ok,-5,0.19293826834415265,0.019758805163722373,9.764672850683898,0.0,83449,13021,EU_ETS_2005,pre_energy_any,log_nseg,5,event_study
ok,-4,0.15123161587020706,0.015436761121761738,9.796848877645104,0.0,83449,13021,EU_ETS_2005,pre_energy_any,log_nseg,5,event_study
ok,-3,0.13298210386623138,0.012759309388461367,10.422359064863743,0.0,83449,13021,EU_ETS_2005,pre_energy_any,log_nseg,5,event_study
ok,-2,0.12525201996984436,0.009686181760080188,12.93100037478622,0.0,83449,13021,EU_ETS_2005,pre_energy_any,log_nseg,5,event_study
ok,0,0.09139170930073727,0.00986226657008993,9.266805825134364,0.0,83449,13021,EU_ETS_2005,pre_energy_any,log_nseg,5,event_study
ok,1,0.08987919497655152,0.012166489702449152,7.387438544287639,1.5143442055887135e-13,83449,13021,EU_ETS_2005,pre_energy_any,log_nseg,5,event_study
ok,2,0.07296100744947046,0.01445593985953341,5.047129979677806,4.4961067025006685e-07,83449,13021,EU_ETS_2005,pre_energy_any,log_nseg,5,event_study
ok,3,0.0472431715298731,0.016857060625277254,2.8025746943706014,0.00507103251742258,83449,13021,EU_ETS_2005,pre_energy_any,log_nseg,5,event_study
ok,4,0.030037586533847714,0.018175756902852922,1.6526181932557056,0.09841305181945925,83449,13021,EU_ETS_2005,pre_energy_any,log_nseg,5,event_study
