status,beta,se,t,p,nobs,firms,t_std,t_p25,t_p75,shock,treatment,outcome,dropped_k,span,check
ok,-0.0751122216265223,0.01440870005663395,-5.212976974417597,1.864646190785635e-07,66475,8032,0.2497907192914183,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,-5,5,leave_one_relative_year
ok,-0.07834110556871822,0.014421821776540361,-5.432122708391381,5.5910475804665793e-08,66171,8034,0.249761849148578,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,-4,5,leave_one_relative_year
ok,-0.08154702706701229,0.015947086546736832,-5.113600332450621,3.1708973358135495e-07,65420,8032,0.2497907192914183,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,-3,5,leave_one_relative_year
ok,-0.09640210812255846,0.017161180746018457,-5.617451942805543,1.9469804657390455e-08,64860,8030,0.2496035383887098,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,-2,5,leave_one_relative_year
ok,-0.09970320458606693,0.018186612479281085,-5.482230662783012,4.218532989597179e-08,62047,7511,0.2513628517670893,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,-1,5,leave_one_relative_year
ok,-0.08596119758423582,0.017106369012523655,-5.025098986307568,5.047763655952053e-07,61262,7253,0.25195150751725,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,0,5,leave_one_relative_year
ok,-0.08914070900943155,0.01613850432025285,-5.523480196214053,3.337941634207198e-08,65153,8030,0.2496035383887098,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,1,5,leave_one_relative_year
ok,-0.08678786154443968,0.015474120949382405,-5.608581051442765,2.0492223029577872e-08,65817,8032,0.2497907192914183,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,2,5,leave_one_relative_year
ok,-0.0852140846235968,0.01537049323885619,-5.5440045611664495,2.9691003877729827e-08,66251,8033,0.2497762829785658,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,3,5,leave_one_relative_year
ok,-0.08080937509258296,0.015454344661712126,-5.228909854248741,1.710950425781732e-07,66774,8034,0.249761849148578,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,4,5,leave_one_relative_year
ok,-0.08228152767010852,0.015489423404174602,-5.312110433234885,1.0875356526440783e-07,67197,8019,0.24954602001038795,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,5,leave_one_relative_year
ok,-0.007736568951767612,0.001717028464688681,-4.505789572434578,6.626849115676237e-06,59559,6836,1.015426451917445,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,-5,5,leave_one_relative_year
ok,-0.008013004509112768,0.0016877206873070483,-4.747826206893532,2.0615664102496822e-06,59309,6849,1.013649444359735,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,-4,5,leave_one_relative_year
ok,-0.008815601640033808,0.0017579930931467642,-5.014582636530215,5.33227824117688e-07,58977,6850,1.0144879487795064,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,-3,5,leave_one_relative_year
ok,-0.00911221736862887,0.0018101749555133099,-5.033887658690386,4.822430677009493e-07,58527,6850,1.0144879487795064,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,-2,5,leave_one_relative_year
ok,-0.009439644280191933,0.0019202549803109827,-4.9158285628626235,8.869460832450216e-07,55020,6287,1.0411865777225988,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,-1,5,leave_one_relative_year
ok,-0.009575836521980392,0.0019410209913692457,-4.933401835713973,8.106913962357964e-07,56439,6511,1.0298675672241047,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,0,5,leave_one_relative_year
ok,-0.009288720183857171,0.0018547966922667254,-5.007945195602831,5.519582557678149e-07,58299,6850,1.0144879487795064,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,1,5,leave_one_relative_year
ok,-0.008349152007253315,0.0017457793294650057,-4.782478441769564,1.7362205011473009e-06,58684,6851,1.014421010876029,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,2,5,leave_one_relative_year
